"01/01/2022 12:00:00 AM","35","M","Aggravated Assault","34.1792","-118.5904"
"01/01/2022 12:00:00 AM","54","F","Aggravated Assault","34.0482","-118.3515"
"01/01/2022 12:00:00 AM","32","F","Liquor Laws","34.1065","-118.2377"
"01/01/2022 12:00:00 AM","29","M","Miscellaneous Other Violations","34.1504","-118.3769"
"01/01/2022 12:00:00 AM","44","M","Miscellaneous Other Violations","33.7925","-118.3075"
"01/01/2022 12:00:00 AM","29","M","Driving Under Influence","34.1194","-118.2007"
"01/01/2022 12:00:00 AM","42","M","Weapon (carry/poss)","33.7433","-118.2836"
"01/01/2022 12:00:00 AM","28","M","Miscellaneous Other Violations","33.9855","-118.4373"
"01/01/2022 12:00:00 AM","36","F","Receive Stolen Property","34.1612","-118.4531"
"01/01/2022 12:00:00 AM","43","F","Weapon (carry/poss)","33.941","-118.2739"
"01/01/2022 12:00:00 AM","56","F","Other Assaults","33.7206","-118.288"
"01/01/2022 12:00:00 AM","57","M","Miscellaneous Other Violations","34.0735","-118.3571"
"01/01/2022 12:00:00 AM","38","M","Vehicle Theft","34.0136","-118.2565"
"01/01/2022 12:00:00 AM","51","F","Other Assaults","34.0462","-118.2854"
"01/01/2022 12:00:00 AM","35","M","Aggravated Assault","34.0539","-118.2799"
"01/01/2022 12:00:00 AM","29","M","Aggravated Assault","34.0141","-118.3501"
"01/01/2022 12:00:00 AM","15","M","Aggravated Assault","34.0685","-118.2775"
"01/01/2022 12:00:00 AM","30","M","Aggravated Assault","34.0073","-118.3108"
"01/01/2022 12:00:00 AM","36","M","Aggravated Assault","34.0944","-118.3223"
"01/01/2022 12:00:00 AM","41","M","Narcotic Drug Laws","34.2542","-118.4095"
"01/01/2022 12:00:00 AM","28","F","Aggravated Assault","34.0998","-118.3237"
"01/01/2022 12:00:00 AM","22","F","Other Assaults","34.1902","-118.5335"
"01/01/2022 12:00:00 AM","21","M","Driving Under Influence","34.2411","-118.4251"
"01/01/2022 12:00:00 AM","28","M","Other Assaults","34.0426","-118.3764"
"01/01/2022 12:00:00 AM","42","M","Aggravated Assault","34.2267","-118.4704"
"01/01/2022 12:00:00 AM","38","M","Miscellaneous Other Violations","34.192","-118.5699"
"01/01/2022 12:00:00 AM","39","M","Narcotic Drug Laws","34.2578","-118.296"
"01/01/2022 12:00:00 AM","60","M","Narcotic Drug Laws","34.0357","-118.2187"
"01/01/2022 12:00:00 AM","23","M","Other Assaults","34.166","-118.5095"
"01/01/2022 12:00:00 AM","24","M","Vehicle Theft","34.0554","-118.2789"
"01/01/2022 12:00:00 AM","60","M","Other Assaults","34.0968","-118.307"
"01/01/2022 12:00:00 AM","36","M","Aggravated Assault","34.0944","-118.3223"
"01/01/2022 12:00:00 AM","25","M","Receive Stolen Property","34.2227","-118.4321"
"01/01/2022 12:00:00 AM","30","M","Weapon (carry/poss)","34.2515","-118.406"
"01/01/2022 12:00:00 AM","37","M","Miscellaneous Other Violations","34.0326","-118.335"
"01/01/2022 12:00:00 AM","20","M","Narcotic Drug Laws","33.9747","-118.2827"
"01/01/2022 12:00:00 AM","59","M","Robbery","34.0381","-118.2483"
"01/01/2022 12:00:00 AM","28","M","Miscellaneous Other Violations","34.0508","-118.2586"
"01/01/2022 12:00:00 AM","28","M","Narcotic Drug Laws","33.8696","-118.2863"
"01/01/2022 12:00:00 AM","42","M","Other Assaults","34.0839","-118.2224"
"01/01/2022 12:00:00 AM","38","M","Weapon (carry/poss)","34","-118.3236"
"01/01/2022 12:00:00 AM","27","M","Drunkeness","34.1016","-118.3333"
"01/01/2022 12:00:00 AM","43","M","Aggravated Assault","34.2047","-118.571"
"01/01/2022 12:00:00 AM","38","M","Aggravated Assault","34.0598","-118.2683"
"01/01/2022 12:00:00 AM","52","F","Aggravated Assault","34.2174","-118.5515"
"01/01/2022 12:00:00 AM","21","M","Aggravated Assault","34.2393","-118.3937"
"01/01/2022 12:00:00 AM","21","M","Vehicle Theft","34.0653","-118.3091"
"01/01/2022 12:00:00 AM","23","M","Other Assaults","34.0915","-118.2974"
"01/01/2022 12:00:00 AM","37","F","Other Assaults","33.9619","-118.2717"
"01/01/2022 12:00:00 AM","30","M","Other Assaults","34.0649","-118.2798"
"01/01/2022 12:00:00 AM","44","M","Aggravated Assault","34.189","-118.4982"
"01/01/2022 12:00:00 AM","46","M","Driving Under Influence","34.3156","-118.4403"
"01/01/2022 12:00:00 AM","26","M","Aggravated Assault","34.0383","-118.2305"
"01/01/2022 12:00:00 AM","29","M","Miscellaneous Other Violations","34.0387","-118.2786"
"01/01/2022 12:00:00 AM","31","M","Other Assaults","34.2128","-118.6042"
"01/01/2022 12:00:00 AM","30","M","Narcotic Drug Laws","34.2329","-118.4387"
"01/01/2022 12:00:00 AM","40","M","Burglary","34.1865","-118.6146"
